date_value,year,quarter,month,day,day_of_week,week_of_year,is_weekend
2024-09-25,2024,3,9,25,3,39,False
2024-09-26,2024,3,9,26,4,39,False
2024-09-27,2024,3,9,27,5,39,False
2024-09-28,2024,3,9,28,6,39,True
2024-09-29,2024,3,9,29,7,39,True
2024-09-30,2024,3,9,30,1,40,False
2024-10-01,2024,4,10,1,2,40,False
2024-10-02,2024,4,10,2,3,40,False
2024-10-03,2024,4,10,3,4,40,False
2024-10-04,2024,4,10,4,5,40,False
2024-10-05,2024,4,10,5,6,40,True
2024-10-06,2024,4,10,6,7,40,True
2024-10-07,2024,4,10,7,1,41,False
2024-10-08,2024,4,10,8,2,41,False
2024-10-09,2024,4,10,9,3,41,False
2024-10-10,2024,4,10,10,4,41,False
2024-10-11,2024,4,10,11,5,41,False
2024-10-12,2024,4,10,12,6,41,True
2024-10-13,2024,4,10,13,7,41,True
2024-10-14,2024,4,10,14,1,42,False
2024-10-15,2024,4,10,15,2,42,False
2024-10-16,2024,4,10,16,3,42,False
2024-10-17,2024,4,10,17,4,42,False
2024-10-18,2024,4,10,18,5,42,False
2024-10-19,2024,4,10,19,6,42,True
2024-10-20,2024,4,10,20,7,42,True
2024-10-21,2024,4,10,21,1,43,False
2024-10-22,2024,4,10,22,2,43,False
2024-10-23,2024,4,10,23,3,43,False
2024-10-24,2024,4,10,24,4,43,False
2024-10-25,2024,4,10,25,5,43,False
2024-10-26,2024,4,10,26,6,43,True
2024-10-27,2024,4,10,27,7,43,True
2024-10-28,2024,4,10,28,1,44,False
2024-10-29,2024,4,10,29,2,44,False
2024-10-30,2024,4,10,30,3,44,False
2024-10-31,2024,4,10,31,4,44,False
2024-11-01,2024,4,11,1,5,44,False
2024-11-02,2024,4,11,2,6,44,True
2024-11-03,2024,4,11,3,7,44,True
2024-11-04,2024,4,11,4,1,45,False
2024-11-05,2024,4,11,5,2,45,False
2024-11-06,2024,4,11,6,3,45,False
2024-11-07,2024,4,11,7,4,45,False
2024-11-08,2024,4,11,8,5,45,False
2024-11-09,2024,4,11,9,6,45,True
2024-11-10,2024,4,11,10,7,45,True
2024-11-11,2024,4,11,11,1,46,False
2024-11-12,2024,4,11,12,2,46,False
2024-11-13,2024,4,11,13,3,46,False
2024-11-14,2024,4,11,14,4,46,False
2024-11-15,2024,4,11,15,5,46,False
2024-11-16,2024,4,11,16,6,46,True
2024-11-17,2024,4,11,17,7,46,True
2024-11-18,2024,4,11,18,1,47,False
2024-11-19,2024,4,11,19,2,47,False
2024-11-20,2024,4,11,20,3,47,False
2024-11-21,2024,4,11,21,4,47,False
2024-11-22,2024,4,11,22,5,47,False
2024-11-23,2024,4,11,23,6,47,True
2024-11-24,2024,4,11,24,7,47,True
2024-11-25,2024,4,11,25,1,48,False
2024-11-26,2024,4,11,26,2,48,False
2024-11-27,2024,4,11,27,3,48,False
2024-11-28,2024,4,11,28,4,48,False
2024-11-29,2024,4,11,29,5,48,False
2024-11-30,2024,4,11,30,6,48,True
2024-12-01,2024,4,12,1,7,48,True
2024-12-02,2024,4,12,2,1,49,False
2024-12-03,2024,4,12,3,2,49,False
2024-12-04,2024,4,12,4,3,49,False
2024-12-05,2024,4,12,5,4,49,False
2024-12-06,2024,4,12,6,5,49,False
2024-12-07,2024,4,12,7,6,49,True
2024-12-08,2024,4,12,8,7,49,True
2024-12-09,2024,4,12,9,1,50,False
2024-12-10,2024,4,12,10,2,50,False
2024-12-11,2024,4,12,11,3,50,False
2024-12-12,2024,4,12,12,4,50,False
2024-12-13,2024,4,12,13,5,50,False
2024-12-14,2024,4,12,14,6,50,True
2024-12-15,2024,4,12,15,7,50,True
2024-12-16,2024,4,12,16,1,51,False
2024-12-17,2024,4,12,17,2,51,False
2024-12-18,2024,4,12,18,3,51,False
2024-12-19,2024,4,12,19,4,51,False
2024-12-20,2024,4,12,20,5,51,False
2024-12-21,2024,4,12,21,6,51,True
2024-12-22,2024,4,12,22,7,51,True
2024-12-23,2024,4,12,23,1,52,False
2024-12-24,2024,4,12,24,2,52,False
2024-12-25,2024,4,12,25,3,52,False
2024-12-26,2024,4,12,26,4,52,False
2024-12-27,2024,4,12,27,5,52,False
2024-12-28,2024,4,12,28,6,52,True
2024-12-29,2024,4,12,29,7,52,True
2024-12-30,2024,4,12,30,1,1,False
2024-12-31,2024,4,12,31,2,1,False
